raw_entry
"Aachen (Aquisgran., Aquen.Leod. dioc.) eccl. s. Adalberti: prepos. 239; can. 239. eccl. s. Marie: 54; prepos. 107 161 179 256; decan. 6 137; cantor. 325; archipresbyt. 183; dign. 166 313; can. 7 57 137 157 161 166 194 204 258 303 325 354 355; capit. 107 161 179 256; vic. 159 326; capel. 159. par. eccl. s. Flori 217. par. eccl. b. Marie 239. capel. s. Salvatoris 325. dom. ord. Carmelit. 133. dom. s. Egidii ord. b. Marie Theuton. 325. opid. 54 217."
Aalen (Aulon August. dioc.) par. eccl. 5.
Aargau (Ergoye Const. dioc.) archidiacon. 94.
Abcoude (Traiect. dioc.) dominus loci 368.
Abstetten (Absteten Patav. dioc.) par. eccl. 76 358.
Acco (Acconen.) ep. 94 168.
Aczmanstorff v. Azmannsdorf.
"Adensen (Adenoys, Andenois Minden. dioc.) par. eccl. 361 376."
Adewoert v. Adwert.
Adlefsen v. Azum.
Admont (Salzb. dioc.) mon. o. s. B.: 353; abb. 353.
Adorf (Nuemb. dioc.) castrum 13.
Adriach (Salzb. dioc.) par. eccl. 339 340.
"Adwert (Adewert, Adewoert Monast. dioc.) mon. Cist. ord.: monach 148 160."
Aemps v. Ems.
Affenhausen (Affhausen Patav. dioc.) par. eccl. 353.
Agauen. v. St. Moritz.
Agde (Agaten.) eccl.: prepos. 300.
St. Ägyden bei Steinbrück (Raczach Aquil. dioc.) par. eccl. 313.
Ägina (Egninen.) ep. 363.
Agneyum (? Meten. dioc.) priorat. o. s. B. 312.
Agram (Zagabien.) ep. 284. eccl.: can. 284. dioc. 247.
Aholming (Ohalming Patav. dioc.) par. eccl. 385.
Aich (Aych Aquil. dioc.) par. eccl. 243.
Aiterhofen (Ratisp. dioc.) par. eccl. 284.
Aix (Aquen.) dioc. 208.
Alamannia v. Deutschland.
Alba v. Herrenalb.
Albano (Albanen.) ep. 201.
Albeins (Brixin. dioc.) par. eccl. 119.
Albicastren. ep. 370.
